id	current_fr	current_ar	proposed_fr	proposed_ar	current_parent_id	proposed_parent_id	slug	classification	name_status	structure_status	note
1	UNCATEGORIZED	غير مصنف	Produits non classés	منتجات غير مصنفة			1-produits-non-classes	unclassified	approved	needs_business_review	Réaffecter les produits avant toute suppression ou fusion.
10	OUTILLAGE	أدوات	Outillage	الأدوات والمعدات			10-outillage	tools	approved	validated	Racine outillage.
12	OUTILS ÉLECTRIQUES	أدوات كهربائية	Outils électriques	الأدوات الكهربائية	10	10	12-outils-electriques	machines	approved	validated	Sous-famille électrique.
13	OUTILLAGE À MAIN	أدوات يدوية	Outillage à main	الأدوات اليدوية	10	10	13-outillage-main	tools	approved	validated	Sous-famille manuelle.
16	ÉLECTRICITÉ	الكهرباء	Électricité	الكهرباء			16-electricite	materials	approved	validated	Fournitures et appareillage installés.
17	SPOTS, PANNEAUX ET AMPOULES LED	سبوتات LED ولوحات LED ومصابيح LED	Spots, panneaux et ampoules LED	سبوتات ولوحات ومصابيح LED	16	16	17-eclairage-led	materials	approved	needs_product_review	Un extracteur apparaît dans l’échantillon.
18	INTERRUPTEURS & PRISES	المفاتيح والمقابس	Interrupteurs et prises	المفاتيح والمقابس	16	16	18-interrupteurs-prises	materials	approved	validated	
19	CÂBLES	كابلات	Câbles électriques	الكابلات الكهربائية	16	16	19-cables-electriques	materials	approved	validated	
20	ENROULEURS & RALLONGES	بكرات الأسلاك وكوابل التمديد	Enrouleurs et rallonges électriques	بكرات وتمديدات كهربائية	16	16	20-enrouleurs-rallonges	materials	approved	validated	
21	DISJONCTEURS & FUSIBLES	قواطع الدائرة والفيوزات	Disjoncteurs et fusibles	القواطع الكهربائية والمصهرات	16	16	21-disjoncteurs-fusibles	materials	approved	validated	
22	ACCESSOIRES ÉLECTRIQUES	إكسسوارات كهربائية	Accessoires électriques	الملحقات الكهربائية	16	16	22-accessoires-electriques	materials	approved	validated	
23	APPAREILLAGE DE MESURE	معدات القياس	Appareils de mesure électrique	أجهزة القياس الكهربائية	16	16	23-mesure-electrique	tools	approved	needs_business_review	À distinguer de 89, instruments de mesure générale.
36	MATÉRIAUX DE CONSTRUCTION	مواد البناء	Matériaux de construction	مواد البناء			36-materiaux-construction	materials	approved	validated	Slug conservé du prompt 04.
48	ÉQUIPEMENTS DE CARRELAGES ET DE MARBRES	معدات البلاط والرخام	Outillage pour carrelage et marbre	أدوات ومعدات البلاط والرخام			48-outillage-carreleur	tools	approved	validated	Slug conservé du prompt 04.
50	COLLES DE CARRELAGE & MARBRE	لاصقات البلاط والرخام	Colles pour carrelage et marbre	لواصق البلاط والرخام	48	48	50-colles-carrelage-marbre	consumables	approved	validated	Slug conservé du prompt 04.
51	MACHINES DE DÉCOUPAGE DE CARRELAGES ET DE MARBRES	ماكينات قطع البلاط والرخام	Machines de découpe pour carrelage et marbre	آلات قطع البلاط والرخام	48	48	51-machines-decoupe-carrelage-marbre	machines	approved	validated	
