id,designation,quantite,prix_achat,prix_vente,kg,valeur_cost,valeur_sale
1000,INGCO طرنوفيس 6.5*150,0,21,50,,0,0
1001,سولوفان 2kg,175,29,50,,5075,8750
1002,سولوفان 1.5kg,107,19,45,,2033,4815
1003,برودوي rain stop 1L (face),92,137.7,170,,12668.4,15640
1004,برودوي BIOSAN 1L,13,110,160,,1430,2080
1005,برودوي Glend STONE 1L,0,145,200,,0,0
1006,برودوي Zimbablack 1L,0,160,200,,0,0
1007,برودوي Kristall Glass 1L,62,160,250,,9920,15500
1008,برودوي ACQUASTOP 1L,0,163.2,220,,0,0
1009,برودوي Lithos 1L,0,145,250,,0,0
1010,برودوي UNIVERSAL GENERAL 1L,0,220,280,,0,0
1011,برودوي SUPER BINDER  1L,65,120,250,,7800,16250
1012,فشفاشة VARNISH SPRAY 400ML,49,40.8,80,,1999.1999999999998,3920
1013,كولا فلامبو B-FIX 600ml,22,38,55,,836,1210
1014,كولا فلامبو B-FIX 350ml,27,25,45,,675,1215
1015,زيت مرمو MAPROF 0.5L,48,16.8,29.41,,806.4000000000001,1411.68
1016,زيت مرمو MAPROF 1L,89,30,45,,2670,4005
1017,لصاق MD-FIX 100 كبير,171,42,65,,7182,11115
1018,لصاق MD-FIX 50صغير,407,25,38.04,,10175,15482.279999999999
1019,ديكريبو DB 40,0,21.5,35,,0,0
1020,سيراج MAPROF 500g,67,17.34,30,,1161.78,2010
1021,برودوي RAIN STOP 5L,17,550,750,,9350,12750
1022,برودوي SUPER BINDER 5L,14,600,850,,8400,11900
1023,فشفاشة صباغة اسود noir,0,11.5,14.38,,0,0
1024,فشفاشة صباغة كري gris,0,11.5,14.38,,0,0
1025,فشفاشة صباغة ازرق blue,0,11.5,14.38,,0,0
1026,فشفاشة صباغة اسود ماط noir mat,0,11.5,14.38,,0,0
1027,فشفاشة صباغة دهبي gold,0,11.5,14.38,,0,0
1028,برودوي CST 5L,12,240,300,,2880,3600
1029,برودوي Tapi Extract 5L,0,250,300,,0,0
1030,برودوي Terranova 5L,17,330,400,,5610,6800
1031,برودوي BRILLEX-M 5L,30,145,190,,4350,5700
1032,برودوي MARBRO GEL 5L,19,270,364.88,,5130,6932.72
1033,برودوي Jontec Lenio 5L,3,350,437.5,,1050,1312.5
1034,برودوي Jontec Plaza 5L( بريو حجر طبيعي شيتا ),2,350,400,,700,800
1035,برودوي CR-10 ازرق 5L,0,270,350,,0,0
1036,برودوي Kristall Glass 5L,9,750,1000,,6750,9000
1037,برودوي MACCHIABLOCK 5L,0,750,937.5,,0,0
1038,برودوي CR-8 5L,1,250,350,,250,350
1039,برودوي KERAPLAST ECO 5L,4,378.16,312.5,,1512.64,1250
1040,شيفون 15*15 RINOVA اسود مخطط,0,176,260,,0,0
1041,شيفون 15*15 RINOVA انوكس,0,154,250,,0,0
1042,شيفون RINOVA 20*9 انوكس مخطط,6,110,220,,660,1320
