designation,quantite,prix_achat,cout_revient_pourcentage,cout_revient,prix_gros_pourcentage,prix_gros,prix_vente_pourcentage,prix_vente,
سولوفان 2kg,113.00,30,2,30.6,10,33,25,37.5,30
سولوفان 1.5kg,48.00,30,2,30.6,10,33,25,37.5,30
rain stop 1L برودوي,106.00,138,2,140.76,10,151.8,25,172.5,138
BIOSAN 1L برودوي,9.00,110,2,112.2,10,121,25,137.5,110
Glend STONE 1L برودوي,-3.00,145,2,147.9,10,159.5,25,181.25,145
Zimbablack 1L برودوي,1.00,160,2,163.2,10,176,25,200,160
Kristall Glass 1L برودوي,13.00,160,2,163.2,10,176,25,200,160
ACQUASTOP 1L برودوي,6.00,163,2,166.26,10,179.3,25,203.75,163
Lithos 1L برودوي,0.00,145,2,147.9,10,159.5,25,181.25,145
UNIVERSAL GENERAL 1L برودوي,0.00,220,2,224.4,10,242,25,275,220
SUPER BINDER 1L برودوي,37.00,125,2,127.5,10,137.5,25,156.25,125
VARNISH SPRAY 400ML فشفاشة,114.00,41,2,41.82,10,45.1,25,51.25,41
B-FIX 600ml كولا فلامبو,30.00,38,2,38.76,10,41.8,25,47.5,38
B-FIX 350ml كولا فلامبو,34.00,25,2,25.5,10,27.5,25,31.25,25
MAPROF 0.5L زيت مرمو,-3.00,17,2,17.34,10,18.7,25,21.25,17
MAPROF 1L زيت مرمو,6.00,30,2,30.6,10,33,25,37.5,30
لصاق Akfix كبير,11.00,42,2,42.84,10,46.2,25,52.5,42
لصاق Akfix صغير,23.00,25,2,25.5,10,27.5,25,31.25,25
ديكريبو 40 DB,12.00,22,2,22.44,10,24.2,25,27.5,22
MAPROF 500g سيراج,86.00,17,2,17.34,10,18.7,25,21.25,17
RAIN STOP 5L برودوي,17.00,550,2,561,10,605,25,687.5,550
SUPER BINDER 5L برودوي,6.00,590,2,601.8,10,649,25,737.5,590
فشفاشة صباغة اسود noir,-4.00,12,2,12.24,10,13.2,25,15,12
فشفاشة صباغة كري gris,7.00,12,2,12.24,10,13.2,25,15,12
فشفاشة صباغة ازرق blue,-2.00,12,2,12.24,10,13.2,25,15,12
فشفاشة صباغة اسود ماط noir mat,4.00,12,2,12.24,10,13.2,25,15,12
فشفاشة صباغة دهبي gold,6.00,12,2,12.24,10,13.2,25,15,12
CST 5L برودوي,19.00,240,2,244.8,10,264,25,300,240
Tapi Extract 5L برودوي,4.00,250,2,255,10,275,25,312.5,250
Terranova 5L برودوي,-6.00,350,2,357,10,385,25,437.5,350
BRILLEX-M 5L برودوي,0.00,145,2,147.9,10,159.5,25,181.25,145
MARBRO GEL 5L برودوي,5.00,259,2,264.18,10,284.9,25,323.75,259
Jontec Lenio 5L برودوي,3.00,350,2,357,10,385,25,437.5,350
5 Jontec Plaza( بريو حجر طبيعي شيتا ),3.00,350,2,357,10,385,25,437.5,350
برودوي 10-CR ازرق 5L,3.00,270,2,275.4,10,297,25,337.5,270
Kristall Glass 5L برودوي,4.00,750,2,765,10,825,25,937.5,750
MACCHIABLOCK 5L برودوي,2.00,750,2,765,10,825,25,937.5,750
CR-8 5L برودوي,2.00,250,2,255,10,275,25,312.5,250
KERAPLAST ECO 5L برودوي,1.00,250,2,255,10,275,25,312.5,250
شيفون 15*15 RINOVA اسود مخطط,15.00,176,2,179.52,10,193.6,25,220,176
انوكس RINOVA 15*15 شيفون,20.00,154,2,157.08,10,169.4,25,192.5,154
شيفون 9*20 RINOVA انوكس مخطط,9.00,110,2,112.2,10,121,25,137.5,110
اسود RINOVA 20*9 شيفون,14.00,187,2,190.74,10,205.7,25,233.75,187
انوكس RINOVA 20*9 شيفون,9.00,160,2,163.2,10,176,25,200,160
اسود RINOVA 30*9 شيفون,20.00,255,2,260.1,10,280.5,25,318.75,255
انوكس RINOVA 30*9 شيفون,7.00,187,2,190.74,10,205.7,25,233.75,187
دهبي MOND 30*10 شيفون,12.00,255,2,260.1,10,280.5,25,318.75,255
شيفون 10*30 MONDIAL انوكس مخطط,-1.00,132,2,134.64,10,145.2,25,165,132
شيفون 10*40 MOND دهبي مخطط,7.00,305,2,311.1,10,335.5,25,381.25,305
اسود MOND 40*10 شيفون,7.00,281,2,286.62,10,309.1,25,351.25,281
دهبي MOND 40*10 شيفون,2.00,305,2,311.1,10,335.5,25,381.25,305
اسود RINOVA 40*9 شيفون,3.00,281,2,286.62,10,309.1,25,351.25,281
شيفون 9*40 RINOVA انوكس مخطط,1.00,176,2,179.52,10,193.6,25,220,176
اسود MOND 50*10 شيفون,6.00,352,2,359.04,10,387.2,25,440,352
دهبي MOND 50*10 شيفون,6.00,370,2,377.4,10,407,25,462.5,370
اسود RINOVA 50*9 شيفون,31.00,352,2,359.04,10,387.2,25,440,352
شيفون 9*50 RINOVA انوكس مخطط,46.00,242,2,246.84,10,266.2,25,302.5,242
اسود MOND 60*10 شيفون,4.00,418,2,426.36,10,459.8,25,522.5,418
دهبي MOND 60*10 شيفون,1.00,430,2,438.6,10,473,25,537.5,430
اسود RINOVA 60*9 شيفون,36.00,418,2,426.36,10,459.8,25,522.5,418
انوكس MOND 60*10 شيفون,2.00,330,2,336.6,10,363,25,412.5,330
شيفون 9*60 RINOVA انوكس مخطط,38.00,308,2,314.16,10,338.8,25,385,308
انوكس RINOVA 60*9 شيفون,-1.00,330,2,336.6,10,363,25,412.5,330
شيفون 9*80 RINOVA انوكس مخطط,6.00,515,2,525.3,10,566.5,25,643.75,515
اسود RINOVA 80*9 شيفون,10.00,605,2,617.1,10,665.5,25,756.25,605
اسود RINOVA 90*9 شيفون,9.00,759,2,774.18,10,834.9,25,948.75,759
انوكس RINOVA 90*9 شيفون,5.00,660,2,673.2,10,726,25,825,660
شيفون 9*90 RINOVA انوكس مخطط,9.00,638,2,650.76,10,701.8,25,797.5,638
شيفون 50 VAV زليجا,78.00,180,2,183.6,10,198,25,225,180
شيفون 50 VAV مخطط,13.00,220,2,224.4,10,242,25,275,220
شيفون 40 VAV مخطط,17.00,140,2,142.8,10,154,25,175,140
شيفون 40 BOMAX انوكس,12.00,120,2,122.4,10,132,25,150,120
اسود AQUA ZONE 40 شيفون,9.00,185,2,188.7,10,203.5,25,231.25,185
انوكس MESATEKNIK 40 شيفون,-5.00,380,2,387.6,10,418,25,475,380
دهبي AQUA ZONE 40 شيفون,8.00,230,2,234.6,10,253,25,287.5,230
برونز AQUA ZONE 40 شيفون,1.00,230,2,234.6,10,253,25,287.5,230
شيفون 30 BOMAX انوكس,6.00,98,2,99.96,10,107.8,25,122.5,98
شيفون 50 BOMAX انوكس,2.00,144,2,146.88,10,158.4,25,180,144
